Alloy_ID,PH_Al,PH_Sum(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
181,0.75262,0.21187,0.004,0.0015,4,0.25
182,0.71647,0.24449,0.00463,0.0015,4.5,0.25
183,0.68047,0.28437,0.00541,0.00156,5,0.25
184,0.64336,0.31641,0.00603,0.0016,5.5,0.25
185,0.60573,0.35469,0.00679,0.00155,6,0.25
186,0.56801,0.39488,0.00757,0.00162,6.5,0.25
187,0.52974,0.43502,0.00836,0.00166,7,0.25
188,0.48988,0.46163,0.00889,0.00157,7.5,0.25
189,0.45068,0.50583,0.00975,0.00167,8,0.25
190,0.41103,0.54108,0.01044,0.00169,8.5,0.25
191,0.37015,0.57891,0.0112,0.00159,9,0.25
192,0.33021,0.63031,0.0122,0.00169,9.5,0.25
193,0.28929,0.66761,0.01294,0.00172,10,0.25
194,0.24703,0.70746,0.01375,0.00157,10.5,0.25
195,0.2053,0.7426,0.01442,0.00169,11,0.25
196,0.16319,0.78295,0.01521,0.00174,11.5,0.25
197,0.12023,0.82948,0.01613,0.00176,12,0.25
198,0.07736,0.86684,0.01688,0.0017,12.5,0.25
199,0.03475,0.91589,0.01784,0.00176,13,0.25
201,0.7529,0.20548,0.00384,0.00191,4,0.3
202,0.71726,0.24628,0.00463,0.00191,4.5,0.3
203,0.68079,0.27764,0.00524,0.00198,5,0.3
204,0.64423,0.31685,0.006,0.00202,5.5,0.3
205,0.60611,0.34609,0.00658,0.00195,6,0.3
206,0.56837,0.38711,0.00737,0.00205,6.5,0.3
207,0.53017,0.42506,0.00811,0.00208,7,0.3
208,0.49088,0.4671,0.00895,0.002,7.5,0.3
209,0.45172,0.5053,0.00969,0.0021,8,0.3
210,0.41211,0.54374,0.01044,0.00213,8.5,0.3
211,0.37127,0.58559,0.01128,0.00202,9,0.3
212,0.33078,0.62199,0.01198,0.00212,9.5,0.3
213,0.28989,0.65869,0.0127,0.00216,10,0.3
214,0.24766,0.69337,0.01338,0.00217,10.5,0.3
215,0.20596,0.73433,0.01419,0.00213,11,0.3
216,0.16448,0.78568,0.0152,0.0022,11.5,0.3
217,0.12202,0.82104,0.0159,0.00221,12,0.3
218,0.07812,0.85932,0.01666,0.00214,12.5,0.3
219,0.03554,0.90841,0.01762,0.00221,13,0.3
221,0.75366,0.20327,0.00377,0.00231,4,0.35
222,0.71757,0.23422,0.00437,0.00228,4.5,0.35
223,0.68113,0.2667,0.00499,0.00238,5,0.35
224,0.64459,0.30765,0.00578,0.00244,5.5,0.35
225,0.60697,0.34878,0.00658,0.00241,6,0.35
226,0.56878,0.37476,0.00709,0.00246,6.5,0.35
227,0.53061,0.41675,0.0079,0.00252,7,0.35
228,0.49135,0.4574,0.00871,0.00242,7.5,0.35
229,0.45221,0.49563,0.00945,0.00254,8,0.35
230,0.41259,0.53441,0.0102,0.00259,8.5,0.35
231,0.37182,0.57392,0.01098,0.00259,9,0.35
232,0.33136,0.61335,0.01175,0.00257,9.5,0.35
233,0.29047,0.65011,0.01247,0.00263,10,0.35
234,0.2483,0.68765,0.01321,0.00265,10.5,0.35
235,0.20663,0.73101,0.01406,0.0026,11,0.35
236,0.16517,0.77702,0.01497,0.00267,11.5,0.35
237,0.12275,0.81268,0.01567,0.00268,12,0.35
238,0.07888,0.85144,0.01644,0.00259,12.5,0.35
239,0.03633,0.90054,0.0174,0.00268,13,0.35
241,0.75397,0.19426,0.00357,0.00274,4,0.4
242,0.7179,0.22572,0.00417,0.0027,4.5,0.4
243,0.68193,0.26534,0.00493,0.00282,5,0.4
244,0.64491,0.29801,0.00556,0.00289,5.5,0.4
245,0.60737,0.33771,0.00633,0.00283,6,0.4
246,0.5692,0.36889,0.00693,0.00294,6.5,0.4
247,0.53106,0.40548,0.00764,0.00296,7,0.4
248,0.49183,0.4506,0.00853,0.00288,7.5,0.4
249,0.45268,0.48551,0.0092,0.00301,8,0.4
250,0.41312,0.52463,0.00996,0.00305,8.5,0.4
251,0.37238,0.56393,0.01073,0.00309,9,0.4
252,0.33195,0.60353,0.01151,0.00303,9.5,0.4
253,0.29109,0.64047,0.01223,0.0031,10,0.4
254,0.24986,0.68248,0.01305,0.00314,10.5,0.4
255,0.20731,0.71914,0.01377,0.00306,11,0.4
256,0.16587,0.76807,0.01473,0.00315,11.5,0.4
257,0.12349,0.80396,0.01543,0.00316,12,0.4
258,0.07964,0.84283,0.0162,0.00309,12.5,0.4
259,0.03713,0.89232,0.01717,0.00317,13,0.4
261,0.75423,0.18335,0.00334,0.00315,4,0.45
262,0.71867,0.22457,0.00413,0.00319,4.5,0.45
263,0.68229,0.25411,0.00469,0.00325,5,0.45
264,0.64581,0.29662,0.0055,0.00335,5.5,0.45
265,0.60777,0.32698,0.00609,0.00327,6,0.45
266,0.57017,0.36741,0.00687,0.0034,6.5,0.45
267,0.53152,0.3941,0.00738,0.00341,7,0.45
268,0.49227,0.43998,0.00828,0.00338,7.5,0.45
269,0.45319,0.47519,0.00896,0.00348,8,0.45
270,0.41366,0.51403,0.00971,0.00353,8.5,0.45
271,0.37294,0.55425,0.01049,0.00357,9,0.45
272,0.33252,0.59472,0.01128,0.00356,9.5,0.45
273,0.29171,0.63248,0.01202,0.0036,10,0.45
274,0.25051,0.66926,0.01274,0.00362,10.5,0.45
275,0.20797,0.70653,0.01347,0.00358,11,0.45
276,0.16659,0.75881,0.01449,0.00365,11.5,0.45
277,0.12423,0.79824,0.01526,0.00368,12,0.45
278,0.08042,0.83311,0.01595,0.00358,12.5,0.45
279,0.03793,0.88377,0.01694,0.00368,13,0.45
281,0.75504,0.18247,0.0033,0.00362,4,0.5
282,0.71902,0.21335,0.00389,0.00362,4.5,0.5
283,0.68266,0.24605,0.00451,0.00373,5,0.5
284,0.6462,0.28495,0.00525,0.00379,5.5,0.5
285,0.60819,0.31855,0.0059,0.00374,6,0.5
286,0.57061,0.35593,0.00661,0.00386,6.5,0.5
287,0.53249,0.39691,0.0074,0.00394,7,0.5
288,0.49277,0.42971,0.00804,0.00384,7.5,0.5
289,0.45371,0.46427,0.0087,0.00395,8,0.5
290,0.41421,0.50651,0.00952,0.00404,8.5,0.5
291,0.37428,0.54278,0.01022,0.00406,9,0.5
292,0.33312,0.58306,0.01101,0.00404,9.5,0.5
293,0.29235,0.62102,0.01175,0.00409,10,0.5
294,0.25117,0.65873,0.01248,0.00412,10.5,0.5
295,0.20926,0.71262,0.01353,0.00412,11,0.5
296,0.1673,0.74925,0.01425,0.00416,11.5,0.5
297,0.12498,0.7882,0.01501,0.00419,12,0.5
298,0.08119,0.8246,0.01573,0.00408,12.5,0.5
299,0.03874,0.87493,0.01671,0.00419,13,0.5
301,0.75538,0.17079,0.00306,0.00405,4,0.55
302,0.71939,0.20321,0.00367,0.00407,4.5,0.55
303,0.68355,0.24469,0.00445,0.00422,5,0.55
304,0.64661,0.27292,0.00499,0.00424,5.5,0.55
305,0.60915,0.31649,0.00582,0.00432,6,0.55
306,0.57102,0.34611,0.00639,0.00436,6.5,0.55
307,0.53297,0.38705,0.00717,0.00444,7,0.55
308,0.49382,0.42926,0.008,0.00434,7.5,0.55
309,0.45424,0.45506,0.00849,0.00445,8,0.55
310,0.41477,0.49849,0.00932,0.00456,8.5,0.55
311,0.37407,0.53411,0.01002,0.00448,9,0.55
312,0.33373,0.57521,0.01081,0.00456,9.5,0.55
313,0.29298,0.61539,0.01159,0.00463,10,0.55
314,0.25184,0.65486,0.01235,0.00467,10.5,0.55
315,0.20995,0.70275,0.01329,0.00463,11,0.55
316,0.16803,0.73943,0.014,0.00468,11.5,0.55
317,0.12572,0.77794,0.01475,0.00472,12,0.55
318,0.08197,0.81585,0.0155,0.00459,12.5,0.55
319,0.03955,0.86581,0.01647,0.00472,13,0.55
