,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
255,0.5235821,0.4728505,0.0038769841,0.255
256,0.52363896,0.4727562,0.003890872,0.256
257,0.52369577,0.47266197,0.00390476,0.257
258,0.5237526,0.47256768,0.0039186627,0.258
259,0.52380943,0.47247338,0.0039325505,0.259
260,0.5238663,0.47237915,0.003946446,0.26
261,0.5239231,0.4722849,0.0039603338,0.261
262,0.5239799,0.47219065,0.0039742365,0.262
263,0.52403677,0.47209638,0.0039881244,0.263
264,0.52409357,0.47200215,0.0040020198,0.264
265,0.5241504,0.47190782,0.0040159,0.265
266,0.52420723,0.47181362,0.0040297955,0.266
267,0.5242641,0.47171932,0.004043691,0.267
268,0.5243209,0.4716251,0.004057586,0.268
269,0.5243777,0.4715308,0.004071474,0.269
270,0.52443457,0.47143656,0.004085362,0.27
271,0.5244914,0.47134227,0.0040992647,0.271
272,0.52454823,0.47124803,0.0041131526,0.272
273,0.52460504,0.47115374,0.0041270405,0.273
274,0.5246619,0.4710595,0.0041409284,0.274
275,0.5247187,0.4709652,0.004154831,0.275
276,0.5247755,0.47087097,0.0041687116,0.276
277,0.52483237,0.47077674,0.004182607,0.277
278,0.52488923,0.47068244,0.0041965097,0.278
279,0.52494603,0.47058818,0.0042103976,0.279
280,0.52500284,0.4704939,0.0042242855,0.28
281,0.5250597,0.47039962,0.0042381883,0.281
282,0.5251165,0.4703054,0.004252076,0.282
283,0.5251733,0.47021112,0.004265964,0.283
284,0.52523017,0.47011685,0.0042798594,0.284
285,0.525287,0.47002262,0.0042937472,0.285
286,0.52534384,0.46992832,0.0043076426,0.286
287,0.52540064,0.46983406,0.0043215305,0.287
288,0.5254575,0.4697398,0.0043354183,0.288
289,0.52551436,0.46964556,0.0043493137,0.289
290,0.52557117,0.46955127,0.0043632165,0.29
291,0.525628,0.46945703,0.004377112,0.291
292,0.52568483,0.46936277,0.004390985,0.292
293,0.52574164,0.46926847,0.0044048876,0.293
294,0.52579844,0.4691742,0.0044187754,0.294
295,0.5258553,0.46908,0.0044326633,0.295
296,0.5259121,0.4689857,0.004446566,0.296
297,0.52596897,0.46889144,0.004460454,0.297
298,0.5260258,0.46879718,0.004474342,0.298
299,0.52608263,0.4687029,0.004488237,0.299
300,0.52613944,0.46860865,0.0045021325,0.3
301,0.52619624,0.46851438,0.004516028,0.301
302,0.5262531,0.46842015,0.004529923,0.302
303,0.52630997,0.46832585,0.004543811,0.303
304,0.5263668,0.46823162,0.004557699,0.304
305,0.5264236,0.46813732,0.004571587,0.305
306,0.52648044,0.4680431,0.004585482,0.306
307,0.52653724,0.4679488,0.0045993775,0.307
308,0.52659404,0.46785456,0.0046132654,0.308
309,0.5266509,0.4677603,0.004627168,0.309
310,0.5267077,0.46766603,0.004641056,0.31
311,0.5267646,0.46757174,0.004654944,0.311
312,0.5268214,0.4674775,0.004668832,0.312
313,0.52687824,0.46738324,0.0046827346,0.313
314,0.52693504,0.46728894,0.0046966225,0.314
315,0.52699184,0.4671947,0.004710503,0.315
