Alloy_ID,PH_Al,PH_Ave(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
97,0.11713,0.423195,0.01683,0,12,0.04
98,0.07413,0.44119,0.01755,0,12.5,0.04
99,0.03138,0.46594,0.01853,0,13,0.04
101,0.75093,0.11639,0.0046,0,4,0.05
102,0.71496,0.12978,0.00513,0,4.5,0.05
103,0.67884,0.1506,0.00596,0,5,0.05
104,0.64161,0.166005,0.00657,0,5.5,0.05
105,0.60385,0.18691,0.0074,0,6,0.05
106,0.56596,0.20438,0.00809,0,6.5,0.05
107,0.52761,0.224055,0.00888,0,7,0.05
108,0.48817,0.244185,0.00968,0,7.5,0.05
109,0.44885,0.26311,0.01043,0,8,0.05
110,0.40904,0.282525,0.01121,0,8.5,0.05
111,0.36808,0.301465,0.01196,0,9,0.05
112,0.32744,0.319435,0.01268,0,9.5,0.05
113,0.28639,0.337675,0.0134,0,10,0.05
114,0.24458,0.36457,0.01448,0,10.5,0.05
115,0.20273,0.381965,0.01517,0,11,0.05
116,0.16048,0.39958,0.01587,0,11.5,0.05
117,0.11847,0.424835,0.01688,0,12,0.05
118,0.0744,0.442995,0.0176,0,12.5,0.05
119,0.03166,0.46783,0.01859,0,13,0.05
121,0.75115,0.11301,0.0044,0,4,0.1
122,0.71521,0.128955,0.00503,0,4.5,0.1
123,0.67912,0.148515,0.00581,0,5,0.1
124,0.64243,0.169405,0.00663,0,5.5,0.1
125,0.60414,0.182635,0.00716,0,6,0.1
126,0.56633,0.203855,0.008,0,6.5,0.1
127,0.52801,0.222475,0.00874,0,7,0.1
128,0.4886,0.2428,0.00955,0,7.5,0.1
129,0.44931,0.26223,0.01031,0,8,0.1
130,0.40953,0.280675,0.01104,0,8.5,0.1
131,0.3686,0.30057,0.01185,0,9,0.1
132,0.32799,0.318305,0.01254,0,9.5,0.1
133,0.28694,0.33901,0.01336,0,10,0.1
134,0.24519,0.36206,0.01428,0,10.5,0.1
135,0.20337,0.38127,0.01504,0,11,0.1
136,0.16115,0.399045,0.01575,0,11.5,0.1
137,0.11917,0.424405,0.01676,0,12,0.1
138,0.07513,0.442615,0.01748,0,12.5,0.1
139,0.03242,0.467655,0.01848,0,13,0.1
141,0.75169,0.11047,0.00425,0.00079,4,0.15
142,0.71597,0.13138,0.00507,0.00079,4.5,0.15
143,0.67941,0.146995,0.00569,0.00082,5,0.15
144,0.64269,0.166335,0.00645,0.00084,5.5,0.15
145,0.60501,0.186795,0.00726,0.00082,6,0.15
146,0.5667,0.199365,0.00775,0.00085,6.5,0.15
147,0.52841,0.22098,0.00861,0.00087,7,0.15
148,0.48903,0.239685,0.00936,0.0008,7.5,0.15
149,0.44973,0.25995,0.01015,0.00088,8,0.15
150,0.41002,0.277635,0.01085,0.00089,8.5,0.15
151,0.36912,0.298185,0.01168,0.00078,9,0.15
152,0.32854,0.315655,0.01236,0.00087,9.5,0.15
153,0.2881,0.34167,0.01339,0.00091,10,0.15
154,0.2458,0.360425,0.01413,0.00091,10.5,0.15
155,0.204,0.38036,0.01492,0.00089,11,0.15
156,0.16182,0.39636,0.01556,0.00091,11.5,0.15
157,0.11988,0.421825,0.01657,0.00092,12,0.15
158,0.07587,0.440275,0.0173,0.00089,12.5,0.15
159,0.03319,0.46533,0.01829,0.00092,13,0.15
161,0.75242,0.111245,0.00424,0.00115,4,0.2
162,0.71618,0.12818,0.0049,0.00115,4.5,0.2
163,0.68016,0.14735,0.00565,0.00119,5,0.2
164,0.64302,0.16242,0.00624,0.00121,5.5,0.2
165,0.60536,0.182815,0.00705,0.00118,6,0.2
166,0.56762,0.20234,0.00781,0.00123,6.5,0.2
167,0.52883,0.21582,0.00835,0.00124,7,0.2
168,0.48943,0.23526,0.00912,0.00119,7.5,0.2
169,0.4502,0.256575,0.00995,0.00126,8,0.2
170,0.41052,0.27359,0.01062,0.00127,8.5,0.2
171,0.36965,0.289675,0.01126,0.00127,9,0.2
172,0.32907,0.311585,0.01213,0.00126,9.5,0.2
173,0.28869,0.337935,0.01317,0.0013,10,0.2
174,0.24734,0.35616,0.01389,0.00131,10.5,0.2
175,0.20465,0.37478,0.01463,0.00128,11,0.2
176,0.1625,0.39274,0.01534,0.00131,11.5,0.2
177,0.11951,0.41754,0.01632,0.00132,12,0.2
178,0.07662,0.43697,0.01709,0.00128,12.5,0.2
179,0.03397,0.46164,0.01807,0.00133,13,0.2
181,0.75262,0.105935,0.004,0.0015,4,0.25
182,0.71647,0.122245,0.00463,0.0015,4.5,0.25
183,0.68047,0.142185,0.00541,0.00156,5,0.25
184,0.64336,0.158205,0.00603,0.0016,5.5,0.25
185,0.60573,0.177345,0.00679,0.00155,6,0.25
186,0.56801,0.19744,0.00757,0.00162,6.5,0.25
187,0.52974,0.21751,0.00836,0.00166,7,0.25
188,0.48988,0.230815,0.00889,0.00157,7.5,0.25
189,0.45068,0.252915,0.00975,0.00167,8,0.25
190,0.41103,0.27054,0.01044,0.00169,8.5,0.25
191,0.37015,0.289455,0.0112,0.00159,9,0.25
192,0.33021,0.315155,0.0122,0.00169,9.5,0.25
193,0.28929,0.333805,0.01294,0.00172,10,0.25
194,0.24703,0.35373,0.01375,0.00157,10.5,0.25
195,0.2053,0.3713,0.01442,0.00169,11,0.25
196,0.16319,0.391475,0.01521,0.00174,11.5,0.25
197,0.12023,0.41474,0.01613,0.00176,12,0.25
198,0.07736,0.43342,0.01688,0.0017,12.5,0.25
199,0.03475,0.457945,0.01784,0.00176,13,0.25
201,0.7529,0.10274,0.00384,0.00191,4,0.3
202,0.71726,0.12314,0.00463,0.00191,4.5,0.3
203,0.68079,0.13882,0.00524,0.00198,5,0.3
204,0.64423,0.158425,0.006,0.00202,5.5,0.3
205,0.60611,0.173045,0.00658,0.00195,6,0.3
206,0.56837,0.193555,0.00737,0.00205,6.5,0.3
207,0.53017,0.21253,0.00811,0.00208,7,0.3
208,0.49088,0.23355,0.00895,0.002,7.5,0.3
209,0.45172,0.25265,0.00969,0.0021,8,0.3
210,0.41211,0.27187,0.01044,0.00213,8.5,0.3
211,0.37127,0.292795,0.01128,0.00202,9,0.3
212,0.33078,0.310995,0.01198,0.00212,9.5,0.3
213,0.28989,0.329345,0.0127,0.00216,10,0.3
214,0.24766,0.346685,0.01338,0.00217,10.5,0.3
215,0.20596,0.367165,0.01419,0.00213,11,0.3
216,0.16448,0.39284,0.0152,0.0022,11.5,0.3
217,0.12202,0.41052,0.0159,0.00221,12,0.3
218,0.07812,0.42966,0.01666,0.00214,12.5,0.3
219,0.03554,0.454205,0.01762,0.00221,13,0.3
221,0.75366,0.101635,0.00377,0.00231,4,0.35
222,0.71757,0.11711,0.00437,0.00228,4.5,0.35
223,0.68113,0.13335,0.00499,0.00238,5,0.35
224,0.64459,0.153825,0.00578,0.00244,5.5,0.35
225,0.60697,0.17439,0.00658,0.00241,6,0.35
226,0.56878,0.18738,0.00709,0.00246,6.5,0.35
227,0.53061,0.208375,0.0079,0.00252,7,0.35
228,0.49135,0.2287,0.00871,0.00242,7.5,0.35
229,0.45221,0.247815,0.00945,0.00254,8,0.35
230,0.41259,0.267205,0.0102,0.00259,8.5,0.35
231,0.37182,0.28696,0.01098,0.00259,9,0.35
232,0.33136,0.306675,0.01175,0.00257,9.5,0.35
233,0.29047,0.325055,0.01247,0.00263,10,0.35
234,0.2483,0.343825,0.01321,0.00265,10.5,0.35
235,0.20663,0.365505,0.01406,0.0026,11,0.35
236,0.16517,0.38851,0.01497,0.00267,11.5,0.35
237,0.12275,0.40634,0.01567,0.00268,12,0.35
238,0.07888,0.42572,0.01644,0.00259,12.5,0.35
239,0.03633,0.45027,0.0174,0.00268,13,0.35
241,0.75397,0.09713,0.00357,0.00274,4,0.4
242,0.7179,0.11286,0.00417,0.0027,4.5,0.4
243,0.68193,0.13267,0.00493,0.00282,5,0.4
244,0.64491,0.149005,0.00556,0.00289,5.5,0.4
245,0.60737,0.168855,0.00633,0.00283,6,0.4
246,0.5692,0.184445,0.00693,0.00294,6.5,0.4
247,0.53106,0.20274,0.00764,0.00296,7,0.4
248,0.49183,0.2253,0.00853,0.00288,7.5,0.4
249,0.45268,0.242755,0.0092,0.00301,8,0.4
250,0.41312,0.262315,0.00996,0.00305,8.5,0.4
251,0.37238,0.281965,0.01073,0.00309,9,0.4
252,0.33195,0.301765,0.01151,0.00303,9.5,0.4
253,0.29109,0.320235,0.01223,0.0031,10,0.4
254,0.24986,0.34124,0.01305,0.00314,10.5,0.4
255,0.20731,0.35957,0.01377,0.00306,11,0.4
256,0.16587,0.384035,0.01473,0.00315,11.5,0.4
257,0.12349,0.40198,0.01543,0.00316,12,0.4
258,0.07964,0.421415,0.0162,0.00309,12.5,0.4
259,0.03713,0.44616,0.01717,0.00317,13,0.4
261,0.75423,0.091675,0.00334,0.00315,4,0.45
262,0.71867,0.112285,0.00413,0.00319,4.5,0.45
263,0.68229,0.127055,0.00469,0.00325,5,0.45
264,0.64581,0.14831,0.0055,0.00335,5.5,0.45
265,0.60777,0.16349,0.00609,0.00327,6,0.45
266,0.57017,0.183705,0.00687,0.0034,6.5,0.45
267,0.53152,0.19705,0.00738,0.00341,7,0.45
268,0.49227,0.21999,0.00828,0.00338,7.5,0.45
269,0.45319,0.237595,0.00896,0.00348,8,0.45
270,0.41366,0.257015,0.00971,0.00353,8.5,0.45
271,0.37294,0.277125,0.01049,0.00357,9,0.45
272,0.33252,0.29736,0.01128,0.00356,9.5,0.45
273,0.29171,0.31624,0.01202,0.0036,10,0.45
274,0.25051,0.33463,0.01274,0.00362,10.5,0.45
275,0.20797,0.353265,0.01347,0.00358,11,0.45
276,0.16659,0.379405,0.01449,0.00365,11.5,0.45
277,0.12423,0.39912,0.01526,0.00368,12,0.45
278,0.08042,0.416555,0.01595,0.00358,12.5,0.45
279,0.03793,0.441885,0.01694,0.00368,13,0.45
281,0.75504,0.091235,0.0033,0.00362,4,0.5
282,0.71902,0.106675,0.00389,0.00362,4.5,0.5
283,0.68266,0.123025,0.00451,0.00373,5,0.5
284,0.6462,0.142475,0.00525,0.00379,5.5,0.5
285,0.60819,0.159275,0.0059,0.00374,6,0.5
286,0.57061,0.177965,0.00661,0.00386,6.5,0.5
287,0.53249,0.198455,0.0074,0.00394,7,0.5
288,0.49277,0.214855,0.00804,0.00384,7.5,0.5
289,0.45371,0.232135,0.0087,0.00395,8,0.5
290,0.41421,0.253255,0.00952,0.00404,8.5,0.5
291,0.37428,0.27139,0.01022,0.00406,9,0.5
292,0.33312,0.29153,0.01101,0.00404,9.5,0.5
293,0.29235,0.31051,0.01175,0.00409,10,0.5
294,0.25117,0.329365,0.01248,0.00412,10.5,0.5
295,0.20926,0.35631,0.01353,0.00412,11,0.5
296,0.1673,0.374625,0.01425,0.00416,11.5,0.5
297,0.12498,0.3941,0.01501,0.00419,12,0.5
298,0.08119,0.4123,0.01573,0.00408,12.5,0.5
299,0.03874,0.437465,0.01671,0.00419,13,0.5
301,0.75538,0.085395,0.00306,0.00405,4,0.55
302,0.71939,0.101605,0.00367,0.00407,4.5,0.55
303,0.68355,0.122345,0.00445,0.00422,5,0.55
304,0.64661,0.13646,0.00499,0.00424,5.5,0.55
305,0.60915,0.158245,0.00582,0.00432,6,0.55
306,0.57102,0.173055,0.00639,0.00436,6.5,0.55
307,0.53297,0.193525,0.00717,0.00444,7,0.55
308,0.49382,0.21463,0.008,0.00434,7.5,0.55
309,0.45424,0.22753,0.00849,0.00445,8,0.55
310,0.41477,0.249245,0.00932,0.00456,8.5,0.55
311,0.37407,0.267055,0.01002,0.00448,9,0.55
312,0.33373,0.287605,0.01081,0.00456,9.5,0.55
313,0.29298,0.307695,0.01159,0.00463,10,0.55
314,0.25184,0.32743,0.01235,0.00467,10.5,0.55
315,0.20995,0.351375,0.01329,0.00463,11,0.55
316,0.16803,0.369715,0.014,0.00468,11.5,0.55
317,0.12572,0.38897,0.01475,0.00472,12,0.55
318,0.08197,0.407925,0.0155,0.00459,12.5,0.55
319,0.03955,0.432905,0.01647,0.00472,13,0.55
321,0.75622,0.08438,0.00301,0.00453,4,0.6
322,0.72026,0.100665,0.00362,0.00455,4.5,0.6
323,0.68395,0.11634,0.00421,0.00467,5,0.6
324,0.64698,0.13282,0.00483,0.00478,5.5,0.6
325,0.60954,0.152485,0.00558,0.00475,6,0.6
326,0.57149,0.1689,0.0062,0.00488,6.5,0.6
327,0.53346,0.18751,0.00691,0.00492,7,0.6
328,0.49433,0.20738,0.00767,0.00499,7.5,0.6
329,0.45534,0.228515,0.00849,0.005,8,0.6
330,0.4153,0.240985,0.00897,0.00502,8.5,0.6
331,0.37466,0.26084,0.00973,0.00507,9,0.6
332,0.33435,0.28105,0.01052,0.00505,9.5,0.6
333,0.29363,0.30057,0.01127,0.00512,10,0.6
334,0.25308,0.326685,0.01228,0.00522,10.5,0.6
335,0.21065,0.34631,0.01305,0.00516,11,0.6
336,0.16876,0.365245,0.01378,0.00522,11.5,0.6
337,0.12648,0.383795,0.0145,0.00525,12,0.6
338,0.08276,0.40344,0.01527,0.00512,12.5,0.6
339,0.04037,0.428135,0.01623,0.00527,13,0.6
341,0.7566,0.078695,0.00278,0.00499,4,0.65
342,0.7206,0.09502,0.00339,0.00504,4.5,0.65
343,0.68431,0.111545,0.004,0.00519,5,0.65
344,0.64793,0.13105,0.00474,0.00527,5.5,0.65
345,0.60999,0.14767,0.00537,0.00526,6,0.65
346,0.5725,0.16765,0.00612,0.00539,6.5,0.65
347,0.53396,0.18144,0.00665,0.00541,7,0.65
348,0.49486,0.20225,0.00744,0.00551,7.5,0.65
349,0.45585,0.222825,0.00823,0.00553,8,0.65
350,0.41644,0.242645,0.00899,0.00561,8.5,0.65
351,0.37659,0.262365,0.00975,0.00566,9,0.65
352,0.33555,0.283085,0.01055,0.00564,9.5,0.65
353,0.29484,0.301995,0.01128,0.00571,10,0.65
354,0.25376,0.321245,0.01202,0.00575,10.5,0.65
355,0.21136,0.3414,0.01281,0.00569,11,0.65
356,0.1695,0.3595,0.01351,0.00575,11.5,0.65
357,0.12724,0.37854,0.01425,0.00579,12,0.65
358,0.08417,0.40589,0.01532,0.0057,12.5,0.65
359,0.0412,0.42331,0.01599,0.00582,13,0.65
361,0.75694,0.073365,0.00257,0.00549,4,0.7
362,0.7215,0.094285,0.00335,0.00557,4.5,0.7
363,0.68524,0.109645,0.00391,0.00567,5,0.7
364,0.64837,0.125125,0.00449,0.00575,5.5,0.7
365,0.61046,0.140735,0.00508,0.00589,6,0.7
366,0.57298,0.161025,0.00585,0.00586,6.5,0.7
367,0.53501,0.18198,0.00664,0.00599,7,0.7
368,0.49535,0.198015,0.00726,0.00587,7.5,0.7
369,0.45641,0.21776,0.00801,0.00607,8,0.7
370,0.41702,0.237375,0.00875,0.00614,8.5,0.7
371,0.3772,0.256775,0.0095,0.0062,9,0.7
372,0.33619,0.277335,0.01029,0.00617,9.5,0.7
373,0.2955,0.296295,0.01102,0.00625,10,0.7
374,0.25445,0.315695,0.01177,0.0063,10.5,0.7
375,0.21208,0.33602,0.01256,0.00624,11,0.7
376,0.17023,0.35458,0.01327,0.00631,11.5,0.7
377,0.12802,0.373215,0.014,0.00634,12,0.7
378,0.08497,0.401,0.01508,0.00625,12.5,0.7
379,0.04203,0.418355,0.01575,0.00638,13,0.7
