Alloy_ID,PH_Al,PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
159,0.86404,0.10345,0.01829,0.01422,13,0.15
160,0.85856,0.10828,0.0189,0.01426,13.5,0.15
161,0.95294,0.02506,0.00424,0.01776,4,0.2
162,0.9483,0.029,0.0049,0.0178,4.5,0.2
163,0.94309,0.03285,0.00565,0.01841,5,0.2
164,0.93823,0.03683,0.00624,0.0187,5.5,0.2
165,0.93371,0.04096,0.00705,0.01828,6,0.2
166,0.92811,0.04501,0.00781,0.01907,6.5,0.2
167,0.92329,0.04915,0.00835,0.01921,7,0.2
168,0.91889,0.05355,0.00912,0.01844,7.5,0.2
169,0.91285,0.05767,0.00995,0.01953,8,0.2
170,0.90772,0.06199,0.01062,0.01967,8.5,0.2
171,0.90271,0.06638,0.01126,0.01965,9,0.2
172,0.89747,0.07074,0.01213,0.01966,9.5,0.2
173,0.89159,0.07509,0.01317,0.02015,10,0.2
174,0.88624,0.0796,0.01389,0.02027,10.5,0.2
175,0.88138,0.08422,0.01463,0.01977,11,0.2
176,0.87569,0.08879,0.01534,0.02018,11.5,0.2
177,0.86978,0.09343,0.01632,0.02047,12,0.2
178,0.86488,0.0982,0.01709,0.01983,12.5,0.2
179,0.85876,0.10265,0.01807,0.02052,13,0.2
180,0.85316,0.10758,0.01867,0.02059,13.5,0.2
181,0.9483,0.02443,0.004,0.02327,4,0.25
182,0.94378,0.02838,0.00463,0.02321,4.5,0.25
183,0.9382,0.03221,0.00541,0.02418,5,0.25
184,0.93307,0.03619,0.00603,0.02471,5.5,0.25
185,0.92891,0.04035,0.00679,0.02395,6,0.25
186,0.92298,0.04433,0.00757,0.02512,6.5,0.25
187,0.91755,0.04842,0.00836,0.02567,7,0.25
188,0.91386,0.0529,0.00889,0.02435,7.5,0.25
189,0.90738,0.05699,0.00975,0.02588,8,0.25
190,0.90221,0.06124,0.01044,0.02611,8.5,0.25
191,0.89839,0.06588,0.0112,0.02453,9,0.25
192,0.89172,0.07001,0.0122,0.02607,9.5,0.25
193,0.88597,0.07443,0.01294,0.02666,10,0.25
194,0.88281,0.07922,0.01375,0.02422,10.5,0.25
195,0.8758,0.0836,0.01442,0.02618,11,0.25
196,0.86982,0.08804,0.01521,0.02693,11.5,0.25
197,0.86406,0.09263,0.01613,0.02718,12,0.25
198,0.85935,0.09749,0.01688,0.02628,12.5,0.25
199,0.85304,0.10192,0.01784,0.0272,13,0.25
200,0.84745,0.10683,0.01844,0.02728,13.5,0.25
201,0.94284,0.02375,0.00384,0.02957,4,0.3
202,0.93824,0.02764,0.00463,0.02949,4.5,0.3
203,0.93267,0.03151,0.00524,0.03058,5,0.3
204,0.92742,0.0354,0.006,0.03118,5.5,0.3
205,0.92367,0.03965,0.00658,0.0301,6,0.3
206,0.91732,0.04359,0.00737,0.03172,6.5,0.3
207,0.91205,0.0477,0.00811,0.03214,7,0.3
208,0.90798,0.05209,0.00895,0.03098,7.5,0.3
209,0.90163,0.05618,0.00969,0.0325,8,0.3
210,0.89614,0.06041,0.01044,0.03301,8.5,0.3
211,0.89244,0.0651,0.01128,0.03118,9,0.3
212,0.88596,0.06931,0.01198,0.03275,9.5,0.3
213,0.88019,0.07364,0.0127,0.03347,10,0.3
214,0.87474,0.07826,0.01338,0.03362,10.5,0.3
215,0.87008,0.08283,0.01419,0.0329,11,0.3
216,0.86356,0.08726,0.0152,0.03398,11.5,0.3
217,0.85815,0.09179,0.0159,0.03416,12,0.3
218,0.85355,0.09673,0.01666,0.03306,12.5,0.3
219,0.84702,0.10114,0.01762,0.03422,13,0.3
220,0.84147,0.10604,0.0182,0.03429,13.5,0.3
221,0.93747,0.02302,0.00377,0.03574,4,0.35
222,0.93337,0.02697,0.00437,0.03529,4.5,0.35
223,0.92738,0.03081,0.00499,0.03682,5,0.35
224,0.92176,0.03467,0.00578,0.03779,5.5,0.35
225,0.91728,0.03885,0.00658,0.03729,6,0.35
226,0.91195,0.04285,0.00709,0.03811,6.5,0.35
227,0.90615,0.04693,0.0079,0.03902,7,0.35
228,0.90246,0.05136,0.00871,0.03747,7.5,0.35
229,0.89579,0.05543,0.00945,0.03933,8,0.35
230,0.89011,0.05966,0.0102,0.04003,8.5,0.35
231,0.88489,0.06407,0.01098,0.04006,9,0.35
232,0.8797,0.06845,0.01175,0.0401,9.5,0.35
