Alloy_ID,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
203,0.68079,0.24674,0.0309,0.00524,0.00198,5,0.3
204,0.64423,0.2816,0.03525,0.006,0.00202,5.5,0.3
205,0.60611,0.3076,0.03849,0.00658,0.00195,6,0.3
206,0.56837,0.34407,0.04304,0.00737,0.00205,6.5,0.3
207,0.53017,0.37781,0.04725,0.00811,0.00208,7,0.3
208,0.49088,0.41519,0.05191,0.00895,0.002,7.5,0.3
209,0.45172,0.44915,0.05615,0.00969,0.0021,8,0.3
210,0.41211,0.48333,0.06041,0.01044,0.00213,8.5,0.3
211,0.37127,0.52055,0.06504,0.01128,0.00202,9,0.3
212,0.33078,0.55291,0.06908,0.01198,0.00212,9.5,0.3
213,0.28989,0.58554,0.07315,0.0127,0.00216,10,0.3
221,0.75366,0.18062,0.02265,0.00377,0.00231,4,0.35
222,0.71757,0.20813,0.02609,0.00437,0.00228,4.5,0.35
223,0.68113,0.237,0.0297,0.00499,0.00238,5,0.35
224,0.64459,0.2734,0.03425,0.00578,0.00244,5.5,0.35
225,0.60697,0.30997,0.03881,0.00658,0.00241,6,0.35
226,0.56878,0.33306,0.0417,0.00709,0.00246,6.5,0.35
227,0.53061,0.37039,0.04636,0.0079,0.00252,7,0.35
228,0.49135,0.40654,0.05086,0.00871,0.00242,7.5,0.35
229,0.45221,0.44052,0.05511,0.00945,0.00254,8,0.35
230,0.41259,0.475,0.05941,0.0102,0.00259,8.5,0.35
231,0.37182,0.51013,0.06379,0.01098,0.00259,9,0.35
232,0.33136,0.54519,0.06816,0.01175,0.00257,9.5,0.35
233,0.29047,0.57788,0.07223,0.01247,0.00263,10,0.35
241,0.75397,0.17261,0.02165,0.00357,0.00274,4,0.4
242,0.7179,0.20057,0.02515,0.00417,0.0027,4.5,0.4
243,0.68193,0.23578,0.02956,0.00493,0.00282,5,0.4
244,0.64491,0.26482,0.03319,0.00556,0.00289,5.5,0.4
245,0.60737,0.30011,0.0376,0.00633,0.00283,6,0.4
246,0.5692,0.32783,0.04106,0.00693,0.00294,6.5,0.4
247,0.53106,0.36035,0.04513,0.00764,0.00296,7,0.4
248,0.49183,0.40047,0.05013,0.00853,0.00288,7.5,0.4
249,0.45268,0.4315,0.05401,0.0092,0.00301,8,0.4
250,0.41312,0.46628,0.05835,0.00996,0.00305,8.5,0.4
251,0.37238,0.50122,0.06271,0.01073,0.00309,9,0.4
252,0.33195,0.53643,0.0671,0.01151,0.00303,9.5,0.4
253,0.29109,0.56927,0.0712,0.01223,0.0031,10,0.4
261,0.75423,0.16291,0.02044,0.00334,0.00315,4,0.45
262,0.71867,0.19954,0.02503,0.00413,0.00319,4.5,0.45
263,0.68229,0.22579,0.02832,0.00469,0.00325,5,0.45
264,0.64581,0.26357,0.03305,0.0055,0.00335,5.5,0.45
265,0.60777,0.29056,0.03642,0.00609,0.00327,6,0.45
266,0.57017,0.3265,0.04091,0.00687,0.0034,6.5,0.45
267,0.53152,0.35022,0.04388,0.00738,0.00341,7,0.45
268,0.49227,0.39101,0.04897,0.00828,0.00338,7.5,0.45
269,0.45319,0.4223,0.05289,0.00896,0.00348,8,0.45
270,0.41366,0.45683,0.0572,0.00971,0.00353,8.5,0.45
271,0.37294,0.49259,0.06166,0.01049,0.00357,9,0.45
272,0.33252,0.52857,0.06615,0.01128,0.00356,9.5,0.45
273,0.29171,0.56214,0.07034,0.01202,0.0036,10,0.45
281,0.75504,0.16212,0.02035,0.0033,0.00362,4,0.5
282,0.71902,0.18956,0.02379,0.00389,0.00362,4.5,0.5
283,0.68266,0.21862,0.02743,0.00451,0.00373,5,0.5
284,0.6462,0.25319,0.03176,0.00525,0.00379,5.5,0.5
285,0.60819,0.28306,0.03549,0.0059,0.00374,6,0.5
286,0.57061,0.31628,0.03965,0.00661,0.00386,6.5,0.5
287,0.53249,0.3527,0.04421,0.0074,0.00394,7,0.5
288,0.49277,0.38186,0.04785,0.00804,0.00384,7.5,0.5
289,0.45371,0.41258,0.05169,0.0087,0.00395,8,0.5
290,0.41421,0.45013,0.05638,0.00952,0.00404,8.5,0.5
291,0.37428,0.48237,0.06041,0.01022,0.00406,9,0.5
292,0.33312,0.51818,0.06488,0.01101,0.00404,9.5,0.5
293,0.29235,0.55193,0.06909,0.01175,0.00409,10,0.5
301,0.75538,0.15174,0.01905,0.00306,0.00405,4,0.55
302,0.71939,0.18055,0.02266,0.00367,0.00407,4.5,0.55
303,0.68355,0.21741,0.02728,0.00445,0.00422,5,0.55
304,0.64661,0.2425,0.03042,0.00499,0.00424,5.5,0.55
305,0.60915,0.28122,0.03527,0.00582,0.00432,6,0.55
306,0.57102,0.30754,0.03857,0.00639,0.00436,6.5,0.55
307,0.53297,0.34393,0.04312,0.00717,0.00444,7,0.55
308,0.49382,0.38145,0.04781,0.008,0.00434,7.5,0.55
309,0.45424,0.40438,0.05068,0.00849,0.00445,8,0.55
310,0.41477,0.44298,0.05551,0.00932,0.00456,8.5,0.55
311,0.37407,0.47465,0.05946,0.01002,0.00448,9,0.55
312,0.33373,0.51118,0.06403,0.01081,0.00456,9.5,0.55
313,0.29298,0.5469,0.06849,0.01159,0.00463,10,0.55
321,0.75622,0.14994,0.01882,0.00301,0.00453,4,0.6
322,0.72026,0.17888,0.02245,0.00362,0.00455,4.5,0.6
323,0.68395,0.20673,0.02595,0.00421,0.00467,5,0.6
324,0.64698,0.23602,0.02962,0.00483,0.00478,5.5,0.6
325,0.60954,0.27097,0.034,0.00558,0.00475,6,0.6
326,0.57149,0.30015,0.03765,0.0062,0.00488,6.5,0.6
327,0.53346,0.33323,0.04179,0.00691,0.00492,7,0.6
