,Al,Al2,Si,Al2Si2Sr
69,0.49,-0.20,-0.38,-0.15
70,0.49,-0.22,-0.38,-0.13
71,0.49,-0.24,-0.38,-0.12
72,0.49,-0.26,-0.38,-0.11
73,0.49,-0.28,-0.39,-0.10
74,0.49,-0.30,-0.39,-0.09
75,0.49,-0.32,-0.39,-0.08
76,0.49,-0.34,-0.39,-0.06
77,0.49,-0.36,-0.39,-0.05
78,0.49,-0.37,-0.40,-0.04
79,0.49,-0.39,-0.40,-0.03
80,0.49,-0.41,-0.40,-0.02
81,0.49,-0.43,-0.40,-0.01
82,0.49,-0.45,-0.40,0.01
83,0.49,-0.47,-0.40,0.02
84,0.49,-0.49,-0.41,0.03
85,0.49,-0.51,-0.41,0.04
86,0.50,-0.53,-0.41,0.05
87,0.50,-0.55,-0.41,0.07
88,0.50,-0.57,-0.41,0.08
89,0.50,-0.59,-0.42,0.09
90,0.50,-0.61,-0.42,0.10
91,0.50,-0.63,-0.42,0.11
92,0.50,-0.65,-0.42,0.12
93,0.50,-0.67,-0.42,0.14
94,0.50,-0.69,-0.42,0.15
95,0.50,-0.70,-0.43,0.16
96,0.50,-0.72,-0.43,0.17
97,0.50,-0.74,-0.43,0.18
98,0.50,-0.76,-0.43,0.19
99,0.50,-0.78,-0.43,0.21
100,0.50,-0.80,-0.44,0.22
101,0.50,-0.82,-0.44,0.23
102,0.50,-0.84,-0.44,0.24
103,0.51,-0.86,-0.44,0.25
104,0.51,-0.88,-0.44,0.27
105,0.51,-0.90,-0.44,0.28
106,0.51,-0.92,-0.45,0.29
107,0.51,-0.94,-0.45,0.30
108,0.51,-0.96,-0.45,0.31
109,0.51,-0.98,-0.45,0.32
110,0.51,-1.00,-0.45,0.34
111,0.51,-1.02,-0.46,0.35
112,0.51,-1.04,-0.46,0.36
113,0.51,-1.05,-0.46,0.37
114,0.51,-1.07,-0.46,0.38
115,0.51,-1.09,-0.46,0.39
116,0.51,-1.11,-0.46,0.41
117,0.51,-1.13,-0.47,0.42
118,0.51,-1.15,-0.47,0.43
119,0.51,-1.17,-0.47,0.44
120,0.52,-1.19,-0.47,0.45
121,0.52,-1.21,-0.47,0.46
122,0.52,-1.23,-0.47,0.48
123,0.52,-1.25,-0.48,0.49
124,0.52,-1.27,-0.48,0.50
125,0.52,-1.29,-0.48,0.51
126,0.52,-1.31,-0.48,0.52
127,0.52,-1.33,-0.48,0.54
128,0.52,-1.35,-0.49,0.55
129,0.52,-1.37,-0.49,0.56
130,0.52,-1.39,-0.49,0.57
131,0.52,-1.40,-0.49,0.58
132,0.52,-1.42,-0.49,0.59
133,0.52,-1.44,-0.49,0.61
134,0.52,-1.46,-0.50,0.62
135,0.52,-1.48,-0.50,0.63
136,0.52,-1.50,-0.50,0.64
137,0.52,-1.52,-0.50,0.65
138,0.53,-1.54,-0.50,0.66
139,0.53,-1.56,-0.51,0.68
140,0.53,-1.58,-0.51,0.69
141,0.53,-1.60,-0.51,0.70
142,0.53,-1.62,-0.51,0.71
143,0.53,-1.64,-0.51,0.72
144,0.53,-1.66,-0.51,0.74
145,0.53,-1.68,-0.52,0.75
146,0.53,-1.70,-0.52,0.76
147,0.53,-1.72,-0.52,0.77
148,0.53,-1.74,-0.52,0.78
149,0.53,-1.75,-0.52,0.79
150,0.53,-1.77,-0.53,0.81
151,0.53,-1.79,-0.53,0.82
152,0.53,-1.81,-0.53,0.83
153,0.52,-1.82,-0.53,0.84
154,0.48,-1.81,-0.53,0.85
155,0.45,-1.80,-0.53,0.87
156,0.41,-1.79,-0.53,0.88
157,0.38,-1.78,-0.54,0.89
158,0.35,-1.76,-0.54,0.90
159,0.31,-1.75,-0.54,0.91
160,0.28,-1.74,-0.54,0.93
161,0.24,-1.73,-0.54,0.94
162,0.21,-1.72,-0.54,0.95
163,0.17,-1.71,-0.54,0.96
164,0.14,-1.70,-0.55,0.97
165,0.10,-1.69,-0.55,0.99
166,0.07,-1.68,-0.55,1.00
167,0.03,-1.67,-0.55,1.01
168,-0.00,-1.66,-0.55,1.02
169,-0.04,-1.65,-0.55,1.03
170,-0.07,-1.63,-0.55,1.05
171,-0.10,-1.62,-0.55,1.06
172,-0.14,-1.61,-0.56,1.07
173,-0.17,-1.60,-0.56,1.08
174,-0.21,-1.59,-0.56,1.10
175,-0.24,-1.58,-0.56,1.11
176,-0.28,-1.57,-0.56,1.12
177,-0.31,-1.56,-0.56,1.13
178,-0.35,-1.55,-0.56,1.14
179,-0.38,-1.54,-0.56,1.16
180,-0.42,-1.53,-0.57,1.17
181,-0.45,-1.52,-0.57,1.18
182,-0.49,-1.50,-0.57,1.19
183,-0.52,-1.49,-0.57,1.20
184,-0.55,-1.48,-0.57,1.22
185,-0.59,-1.47,-0.57,1.23
186,-0.62,-1.46,-0.57,1.24
187,-0.66,-1.45,-0.58,1.25
188,-0.69,-1.44,-0.58,1.26
189,-0.73,-1.43,-0.58,1.28
190,-0.76,-1.42,-0.58,1.29
191,-0.80,-1.41,-0.58,1.30
192,-0.83,-1.40,-0.58,1.31
193,-0.87,-1.39,-0.58,1.32
194,-0.90,-1.37,-0.58,1.34
195,-0.94,-1.36,-0.59,1.35
196,-0.97,-1.35,-0.59,1.36
197,-1.00,-1.34,-0.59,1.37
198,-1.04,-1.33,-0.59,1.39
199,-1.07,-1.32,-0.59,1.40
200,-1.11,-1.31,-0.59,1.41
201,-1.14,-1.30,-0.59,1.42
202,-1.18,-1.29,-0.59,1.43
203,-1.21,-1.28,-0.60,1.45
204,-1.25,-1.27,-0.60,1.46
205,-1.28,-1.25,-0.60,1.47
206,-1.32,-1.24,-0.60,1.48
207,-1.35,-1.23,-0.60,1.49
208,-1.39,-1.22,-0.60,1.51
209,-1.42,-1.21,-0.60,1.52
210,-1.45,-1.20,-0.60,1.53
211,-1.49,-1.19,-0.61,1.54
212,-1.52,-1.18,-0.61,1.55
213,-1.56,-1.17,-0.61,1.57
214,-1.59,-1.16,-0.61,1.58
215,-1.63,-1.15,-0.61,1.59
216,-1.66,-1.14,-0.61,1.60
217,-1.70,-1.12,-0.61,1.61
218,-1.73,-1.11,-0.62,1.63
219,-1.77,-1.10,-0.62,1.64
220,-1.80,-1.09,-0.62,1.65
221,-1.84,-1.08,-0.62,1.66
222,-1.87,-1.07,-0.62,1.68
223,-1.90,-1.06,-0.62,1.69
224,-1.94,-1.05,-0.62,1.70
225,-1.97,-1.04,-0.62,1.71
226,-2.01,-1.03,-0.63,1.72
227,-2.04,-1.02,-0.63,1.74
228,-2.08,-1.01,-0.63,1.75
229,-2.11,-0.99,-0.63,1.76
230,-2.15,-0.98,-0.63,1.77
231,-2.18,-0.97,-0.63,1.78
232,-2.22,-0.96,-0.63,1.80
233,-2.25,-0.95,-0.63,1.81
234,-2.29,-0.94,-0.64,1.82
235,-2.32,-0.93,-0.64,1.83
236,-2.35,-0.92,-0.64,1.84
237,-2.39,-0.91,-0.64,1.86
238,-2.42,-0.90,-0.64,1.87
239,-2.46,-0.89,-0.64,1.88
240,-2.49,-0.88,-0.64,1.89
241,-2.53,-0.86,-0.65,1.91
242,-2.56,-0.85,-0.65,1.92
243,-2.59,-0.84,-0.65,1.93
244,-2.60,-0.84,-0.65,1.94
245,-2.61,-0.84,-0.65,1.95
246,-2.62,-0.84,-0.66,1.96
247,-2.62,-0.84,-0.66,1.97
248,-2.63,-0.84,-0.66,1.98
249,-2.64,-0.84,-0.67,1.99
250,-2.65,-0.83,-0.67,2.00
