,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
203,0.42957127,0.47390628,0.047284175,0.0014947404,0.1015
204,0.4279924,0.47546965,0.0472816,0.0015037397,0.102
205,0.42641357,0.47703305,0.047279023,0.0015127391,0.1025
206,0.42483473,0.47859645,0.047276445,0.0015217384,0.103
207,0.42325586,0.48015985,0.04727387,0.0015307377,0.1035
208,0.42167702,0.48172325,0.047271293,0.0015397371,0.104
209,0.4200982,0.48328662,0.047268715,0.0015487364,0.1045
210,0.41851938,0.48485,0.047266137,0.0015577356,0.105
211,0.41694054,0.48641336,0.047263563,0.0015667349,0.1055
212,0.4153617,0.48797676,0.047260985,0.0015757342,0.106
213,0.41378284,0.48954016,0.047258407,0.0015847336,0.1065
214,0.412204,0.49110353,0.047255833,0.001593733,0.107
215,0.41062516,0.49266693,0.047253255,0.0016027322,0.1075
216,0.40904632,0.49423033,0.047250677,0.0016117316,0.108
217,0.40746748,0.4957937,0.047248103,0.0016207309,0.1085
218,0.40588862,0.4973571,0.047245525,0.0016297302,0.109
219,0.4043098,0.49892047,0.047242947,0.0016387296,0.1095
220,0.40273094,0.5004839,0.04724037,0.0016477288,0.11
221,0.40115207,0.5020473,0.047237795,0.0016567283,0.1105
222,0.39957327,0.5036107,0.047235217,0.0016657276,0.111
223,0.3979944,0.50517404,0.04723264,0.001674727,0.1115
224,0.39641556,0.5067374,0.047230065,0.0016837262,0.112
225,0.39483672,0.5083008,0.047227487,0.0016927256,0.1125
226,0.3932579,0.5098642,0.04722491,0.0017017248,0.113
227,0.39167905,0.5114276,0.04722233,0.0017107242,0.1135
228,0.3901002,0.51299095,0.047219757,0.0017197235,0.114
229,0.38852134,0.5145544,0.04721718,0.001728723,0.1145
230,0.3869425,0.51611775,0.0472146,0.0017377222,0.115
231,0.38536367,0.5176811,0.047212027,0.0017467216,0.1155
232,0.38378483,0.51924455,0.04720945,0.0017557207,0.116
233,0.382206,0.5208079,0.04720687,0.0017647202,0.1165
234,0.38062716,0.5223713,0.047204293,0.0017737194,0.117
235,0.3790483,0.5239347,0.04720172,0.0017827188,0.1175
236,0.37746948,0.5254981,0.04719914,0.0017917182,0.118
237,0.3758906,0.52706146,0.047196563,0.0018007176,0.1185
238,0.37431177,0.5286249,0.04719399,0.0018097169,0.119
239,0.37273297,0.5301882,0.04719141,0.001818716,0.1195
240,0.37115413,0.53175163,0.047188833,0.0018277154,0.12
241,0.3699947,0.53292775,0.047186837,0.001834019,0.1205
242,0.36957845,0.5334178,0.04718586,0.0018355465,0.121
243,0.36916217,0.5339079,0.047184885,0.001837074,0.1215
244,0.3687459,0.534398,0.047183912,0.0018386017,0.122
245,0.36832964,0.534888,0.047182936,0.0018401291,0.1225
246,0.36791337,0.53537816,0.047181964,0.0018416566,0.123
247,0.36749712,0.53586817,0.047180988,0.0018431842,0.1235
248,0.36708087,0.53635824,0.047180016,0.0018447117,0.124
249,0.3666646,0.53684837,0.04717904,0.0018462392,0.1245
250,0.3662483,0.53733844,0.047178064,0.0018477668,0.125
