Alloy_ID,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
47,0.5045279,0.400612,0.0477264,0.0002728,0.023
48,0.5045518,0.4006289,0.0477283,0.0002801,0.0235
49,0.5045757,0.4006729,0.0477335,0.0002871,0.024
50,0.5045996,0.4007436,0.0477417,0.0002939,0.0245
51,0.5046235,0.3999994,0.0476539,0.0003066,0.025
52,0.5046474,0.4001115,0.047667,0.0003132,0.0255
53,0.5046713,0.4002497,0.0476832,0.0003196,0.026
54,0.5046952,0.4004135,0.0477024,0.0003257,0.0265
55,0.5047192,0.400603,0.0477246,0.0003315,0.027
56,0.5047431,0.3999212,0.0476444,0.0003443,0.0275
57,0.504767,0.4001498,0.0476711,0.0003498,0.028
58,0.5047909,0.4004034,0.0477008,0.000355,0.0285
59,0.5048148,0.399753,0.0476245,0.0003679,0.029
60,0.5048387,0.4000446,0.0476585,0.0003727,0.0295
61,0.5048626,0.4003607,0.0476954,0.0003772,0.03
62,0.5048865,0.3997402,0.0476227,0.0003902,0.0305
63,0.5049104,0.4000933,0.0476638,0.0003943,0.031
64,0.5049343,0.4004707,0.0477078,0.000398,0.0315
65,0.5049582,0.3998787,0.0476385,0.0004109,0.032
66,0.5049821,0.4002923,0.0476866,0.0004142,0.0325
67,0.505006,0.3997159,0.0476193,0.0004272,0.033
68,0.5050299,0.4001652,0.0476715,0.0004299,0.0335
69,0.5050538,0.3996038,0.047606,0.000443,0.034
70,0.5050777,0.4000884,0.0476622,0.0004452,0.0345
71,0.5051016,0.3995417,0.0475985,0.0004583,0.035
72,0.5051255,0.4000613,0.0476587,0.0004599,0.0355
73,0.5051494,0.3995287,0.0475967,0.000473,0.036
74,0.5051733,0.400083,0.0476609,0.0004741,0.0365
75,0.5051972,0.3995642,0.0476006,0.0004872,0.037
76,0.5052211,0.4001528,0.0476686,0.0004877,0.0375
77,0.505245,0.3996476,0.0476099,0.0005008,0.038
78,0.5052689,0.4002703,0.0476818,0.0005006,0.0385
79,0.5052928,0.3997782,0.0476247,0.0005137,0.039
80,0.5053167,0.3992886,0.0475679,0.0005269,0.0395
81,0.5053406,0.3999555,0.0476448,0.0005258,0.04
82,0.5053645,0.3994787,0.0475895,0.000539,0.0405
83,0.5053884,0.4001792,0.0476702,0.0005373,0.041
84,0.5054123,0.3995957,0.0476761,0.0005511,0.0415
85,0.5054362,0.3991329,0.0476226,0.0005643,0.042
86,0.5054601,0.3998777,0.0477081,0.0005616,0.0425
87,0.505484,0.399427,0.047656,0.0005748,0.043
88,0.5055079,0.3989783,0.0476042,0.0005881,0.0435
89,0.5055318,0.3997661,0.0476946,0.0005845,0.044
90,0.5055557,0.3993292,0.0476441,0.0005977,0.0445
91,0.5055795,0.3988943,0.047594,0.000611,0.045
92,0.5056034,0.3997247,0.047689,0.0006063,0.0455
93,0.5056273,0.3993011,0.0476402,0.0006195,0.046
94,0.5056512,0.3988793,0.0475916,0.0006329,0.0465
95,0.5056751,0.3997521,0.0476914,0.0006271,0.047
96,0.505699,0.3993414,0.0476441,0.0006403,0.0475
97,0.5057229,0.3989325,0.0475971,0.0006536,0.048
98,0.5057468,0.3998473,0.0477015,0.0006467,0.0485
99,0.5057707,0.3994492,0.0476556,0.0006599,0.049
100,0.5057946,0.3990527,0.0476101,0.0006732,0.0495
101,0.5058185,0.3986578,0.0475648,0.0006866,0.05
102,0.5058423,0.3996235,0.0476747,0.0006782,0.0505
103,0.5058662,0.3992392,0.0476306,0.0006914,0.051
104,0.5058901,0.3988563,0.0475867,0.0007048,0.0515
105,0.505914,0.398475,0.0475431,0.0007182,0.052
106,0.5059379,0.399491,0.0476584,0.0007083,0.0525
107,0.5059618,0.3991198,0.0476159,0.0007216,0.053
108,0.5059857,0.39875,0.0475736,0.0007349,0.0535
109,0.5060096,0.3983817,0.0475315,0.0007484,0.054
110,0.5060334,0.3994478,0.0476523,0.0007369,0.0545
111,0.5060573,0.3990894,0.0476113,0.0007502,0.055
112,0.5060812,0.3987322,0.0475705,0.0007635,0.0555
113,0.5061051,0.3983764,0.0475299,0.000777,0.056
114,0.5061289,0.3994923,0.0476561,0.0007638,0.0565
115,0.5061528,0.3991461,0.0476165,0.0007771,0.057
116,0.5061767,0.3988012,0.0475771,0.0007904,0.0575
117,0.5062006,0.3984574,0.047538,0.0008038,0.058
118,0.5062245,0.3981149,0.047499,0.0008174,0.0585
119,0.5062484,0.3992885,0.0476313,0.0008021,0.059
120,0.5062723,0.3989554,0.0475933,0.0008154,0.0595
121,0.5062961,0.3986235,0.0475555,0.0008287,0.06
122,0.50632,0.3982925,0.0475179,0.0008422,0.0605
123,0.5063439,0.3979627,0.0474805,0.0008558,0.061
124,0.5063678,0.3991938,0.0476189,0.0008383,0.0615
125,0.5063917,0.3988732,0.0475824,0.0008516,0.062
126,0.5064156,0.3985535,0.0475461,0.000865,0.0625
127,0.5064394,0.398235,0.04751,0.0008784,0.063
128,0.5064633,0.3979174,0.047474,0.000892,0.0635
129,0.5064872,0.3992058,0.0476185,0.0008723,0.064
130,0.5065111,0.398897,0.0475834,0.0008855,0.0645
131,0.506535,0.3985894,0.0475485,0.0008989,0.065
132,0.5065588,0.3982827,0.0475137,0.0009123,0.0655
133,0.5065827,0.3979769,0.0474792,0.0009258,0.066
134,0.5066066,0.397672,0.0474448,0.0009394,0.0665
135,0.5066305,0.3990251,0.047596,0.0009169,0.067
136,0.5066544,0.3987289,0.0475624,0.0009302,0.0675
137,0.5066782,0.3984336,0.0475289,0.0009435,0.068
138,0.5067021,0.3981391,0.0474957,0.000957,0.0685
139,0.5067259,0.3978456,0.0474626,0.0009705,0.069
140,0.5067498,0.3975529,0.0474296,0.0009841,0.0695
141,0.5067737,0.3989706,0.0475875,0.0009587,0.07
142,0.5067976,0.3986862,0.0475554,0.000972,0.0705
143,0.5068215,0.3984027,0.0475233,0.0009853,0.071
144,0.5068453,0.3981201,0.0474914,0.0009987,0.0715
145,0.5068692,0.3978382,0.0474597,0.0010122,0.072
146,0.5068931,0.3975571,0.0474281,0.0010258,0.0725
147,0.506917,0.3972769,0.0473967,0.0010394,0.073
148,0.5069408,0.3987663,0.047562,0.0010106,0.0735
149,0.5069647,0.3984942,0.0475312,0.0010238,0.074
150,0.5069886,0.3980728,0.0475568,0.0010394,0.0745
151,0.5070125,0.3977744,0.0475233,0.0010535,0.075
152,0.5070363,0.3974767,0.0474899,0.0010677,0.0755
153,0.5070602,0.3971793,0.0474566,0.001082,0.076
154,0.507084,0.3968948,0.0474248,0.0010959,0.0765
155,0.5054826,0.3985449,0.0473944,0.0011032,0.077
156,0.5038737,0.4001969,0.0473681,0.0011103,0.0775
157,0.5022695,0.4017259,0.0474002,0.0011188,0.078
158,0.5006699,0.4033745,0.0473709,0.0011258,0.0785
159,0.4984382,0.4054375,0.0474492,0.0011354,0.079
160,0.496846,0.4071814,0.0473677,0.0011442,0.0795
161,0.4952583,0.4087043,0.0473947,0.0011526,0.08
162,0.4936752,0.4103483,0.0473596,0.0011595,0.0805
163,0.4920967,0.4118672,0.047384,0.0011678,0.081
164,0.4905227,0.4135079,0.047346,0.0011746,0.0815
165,0.4889531,0.4150229,0.0473679,0.0011829,0.082
166,0.4873881,0.4165356,0.0473886,0.0011911,0.0825
167,0.4858275,0.4181715,0.0473464,0.0011978,0.083
168,0.4842713,0.4196804,0.0473647,0.001206,0.0835
169,0.4827194,0.4211873,0.0473818,0.0012142,0.084
170,0.4811719,0.4228184,0.0473356,0.0012207,0.0845
171,0.4796287,0.4243216,0.0473503,0.0012288,0.085
172,0.4780898,0.4258226,0.0473639,0.0012369,0.0855
173,0.4765552,0.4274491,0.0473136,0.0012433,0.086
174,0.4750249,0.4289464,0.0473248,0.0012514,0.0865
175,0.4734987,0.4304419,0.0473349,0.0012594,0.087
176,0.4719767,0.4319353,0.0473439,0.0012673,0.0875
177,0.4704588,0.4334269,0.0473518,0.0012753,0.088
178,0.4689451,0.4349165,0.0473586,0.0012832,0.0885
179,0.4674355,0.4365337,0.0473006,0.0012894,0.089
180,0.46593,0.4380197,0.0473051,0.0012972,0.0895
181,0.4644285,0.439504,0.0473086,0.0013051,0.09
182,0.4629311,0.4409862,0.047311,0.0013129,0.0905
183,0.4614376,0.4424668,0.0473123,0.0013207,0.091
184,0.4599482,0.4439453,0.0473126,0.0013284,0.0915
185,0.4584626,0.4454222,0.0473119,0.0013361,0.092
186,0.456981,0.4468972,0.0473101,0.0013438,0.0925
187,0.4555034,0.4483702,0.0473072,0.0013515,0.093
188,0.4540296,0.4498416,0.0473034,0.0013591,0.0935
189,0.4525596,0.4513112,0.0472985,0.0013667,0.094
190,0.4510935,0.452779,0.0472926,0.0013743,0.0945
191,0.4496312,0.454245,0.0472857,0.0013818,0.095
192,0.4481727,0.4557094,0.0472778,0.0013893,0.0955
193,0.4467179,0.457172,0.0472689,0.0013968,0.096
194,0.4452669,0.4586329,0.047259,0.0014043,0.0965
195,0.4438196,0.459957,0.0473145,0.0014137,0.097
196,0.442376,0.4614141,0.0473028,0.0014211,0.0975
197,0.4401476,0.463573,0.047332,0.0014297,0.098
198,0.4387092,0.4651113,0.0472757,0.00144,0.0985
199,0.4372746,0.4665654,0.0472611,0.0014473,0.099
200,0.4358435,0.468018,0.0472454,0.0014545,0.0995
201,0.434416,0.4693318,0.0472962,0.0014639,0.1
202,0.4329921,0.4707809,0.0472788,0.0014711,0.1005
203,0.4315717,0.4722283,0.0472605,0.0014783,0.101
204,0.4301549,0.4736741,0.0472412,0.0014854,0.1015
205,0.4287416,0.4749799,0.047289,0.0014947,0.102
206,0.4273317,0.4764223,0.0472679,0.0015018,0.1025
207,0.4259253,0.4778631,0.0472459,0.0015089,0.103
208,0.4245224,0.4793024,0.047223,0.0015159,0.1035
209,0.4231229,0.4806003,0.0472678,0.0015251,0.104
210,0.4217268,0.4820363,0.0472432,0.0015321,0.1045
211,0.4203341,0.4834707,0.0472177,0.001539,0.105
212,0.4189448,0.4847627,0.0472603,0.0015481,0.1055
213,0.4175588,0.4861939,0.0472331,0.001555,0.106
214,0.4161762,0.4876235,0.047205,0.0015619,0.1065
215,0.4147968,0.4889099,0.0472455,0.001571,0.107
216,0.4134208,0.4903364,0.0472158,0.0015777,0.1075
217,0.412048,0.4916189,0.047255,0.0015868,0.108
218,0.4106785,0.4930421,0.0472235,0.0015935,0.1085
219,0.4093122,0.494464,0.0471912,0.0016002,0.109
220,0.4079492,0.4957409,0.0472284,0.0016092,0.1095
221,0.4065893,0.4971597,0.0471944,0.0016158,0.11
222,0.4052326,0.4984329,0.0472303,0.0016248,0.1105
223,0.4038791,0.4998487,0.0471947,0.0016314,0.111
224,0.4025287,0.5011182,0.0472293,0.0016404,0.1115
225,0.4011815,0.5025309,0.0471922,0.0016468,0.112
226,0.3998374,0.5037968,0.0472254,0.0016558,0.1125
227,0.3984963,0.5052066,0.0471867,0.0016622,0.113
228,0.3971584,0.5064688,0.0472187,0.0016711,0.1135
229,0.3958235,0.5078756,0.0471784,0.0016774,0.114
230,0.3944917,0.5091343,0.0472092,0.0016863,0.1145
231,0.3931629,0.5105382,0.0471673,0.0016926,0.115
232,0.3918371,0.5117935,0.0471968,0.0017014,0.1155
233,0.3905143,0.5131945,0.0471534,0.0017076,0.116
234,0.3891944,0.5144463,0.0471817,0.0017164,0.1165
235,0.3878776,0.5156963,0.0472094,0.0017252,0.117
236,0.3865637,0.5170929,0.0471638,0.0017313,0.1175
237,0.3852527,0.5183395,0.0471903,0.00174,0.118
238,0.3839446,0.5197335,0.0471432,0.0017461,0.1185
239,0.3826395,0.5209766,0.0471685,0.0017548,0.119
240,0.3813372,0.522218,0.0471932,0.0017635,0.1195
241,0.3800378,0.5236077,0.047144,0.0017694,0.12
242,0.3787413,0.5248457,0.0471675,0.0017781,0.1205
243,0.3774476,0.526082,0.0471905,0.0017868,0.121
244,0.3761567,0.5274676,0.0471391,0.0017926,0.1215
245,0.3748686,0.5287007,0.047161,0.0018012,0.122
246,0.3735833,0.529932,0.0471823,0.0018098,0.1225
247,0.3723008,0.5313135,0.0471288,0.0018155,0.123
248,0.3710211,0.5325417,0.047149,0.0018241,0.1235
249,0.3697441,0.5337681,0.0471686,0.0018326,0.124
250,0.3674693,0.5361273,0.0471223,0.0018386,0.1245
251,0.3661958,0.5372796,0.0471753,0.0018509,0.125
