,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
152,0.50443906,0.0076819807,0.04739503,0.0010600835,0.076
153,0.50300026,0.009069815,0.04739379,0.0010678917,0.0765
154,0.50156146,0.01045762,0.047392584,0.0010756552,0.077
155,0.50012267,0.011845499,0.047391348,0.0010834783,0.0775
156,0.4986838,0.013233334,0.04739011,0.0010912269,0.078
157,0.49724507,0.014621213,0.047388904,0.0010990053,0.0785
158,0.49580628,0.016009033,0.047387667,0.0011068135,0.079
159,0.49436742,0.017396882,0.047386445,0.0011146069,0.0795
160,0.49292868,0.018784717,0.04738521,0.0011224002,0.08
161,0.49148995,0.020172566,0.047384,0.0011301786,0.0805
162,0.4900511,0.02156043,0.04738275,0.0011379719,0.081
163,0.4886123,0.022948265,0.047381543,0.0011457652,0.0815
164,0.4871735,0.024336085,0.047380306,0.0011535734,0.082
165,0.4857347,0.025723979,0.047379084,0.0011613667,0.0825
166,0.48429596,0.027111784,0.047377847,0.0011691302,0.083
167,0.48285717,0.028499663,0.04737664,0.0011769235,0.0835
168,0.4814183,0.029887527,0.047375403,0.001184687,0.084
169,0.47997957,0.03127536,0.04737418,0.001192525,0.0845
170,0.47854084,0.03266321,0.047372974,0.0012003332,0.085
171,0.47710198,0.034051016,0.047371723,0.0012080818,0.0855
172,0.4756632,0.03543888,0.0473705,0.0012158751,0.086
173,0.4742244,0.036826685,0.04736928,0.0012236685,0.0865
174,0.4727856,0.038214594,0.047368057,0.0012314767,0.087
175,0.4713468,0.0396024,0.04736682,0.0012392551,0.0875
176,0.469908,0.040990263,0.0473656,0.0012470335,0.088
177,0.4684692,0.042378113,0.04736436,0.0012548417,0.0885
178,0.4670304,0.043765947,0.04736314,0.0012626052,0.089
179,0.4655916,0.04515384,0.047361918,0.0012703985,0.0895
180,0.46415287,0.046541646,0.04736068,0.0012782067,0.09
181,0.46271402,0.047929496,0.047359474,0.0012860149,0.0905
182,0.46127528,0.04931736,0.047358222,0.0012937933,0.091
183,0.45983648,0.050705224,0.047357015,0.0013015717,0.0915
184,0.4583977,0.05209303,0.04735578,0.0013093501,0.092
185,0.4569589,0.053480864,0.047354557,0.0013171583,0.0925
